name,number_successful_grasps,total_time,pos_drift_under_005,pos_drift_under_010,pos_drift_under_015,pos_drift_under_025,rot_drift_under_010,rot_drift_under_012,rot_drift_under_015,rot_drift_under_025,rot_pos_setting_1,rot_pos_setting_2,rot_pos_setting_3,rot_pos_setting_4
Jawbone_UP24_Wireless_Activity_Tracker_Pink_Coral_L,142,437.02950644493103,36,82,105,131,76,89,103,126,28,60,80,118
010_potted_meat_can,41,180.24163389205933,2,8,25,35,12,20,28,40,1,5,19,35
Threshold_Porcelain_Pitcher_White,3,23.726597547531128,0,0,1,2,2,2,3,3,0,0,1,2
Room_Essentials_Fabric_Cube_Lavender,0,19.235172748565677,0,0,0,0,0,0,0,0,0,0,0,0
3D_Dollhouse_Swing,100,230.04477214813232,21,45,75,89,39,55,61,88,13,35,58,84
Don_Franciscos_Gourmet_Coffee_Medium_Decaf_100_Colombian_12_oz_340_g,1,50.09436774253845,0,0,0,0,0,0,1,1,0,0,0,0
Threshold_Dinner_Plate_Square_Rim_White_Porcelain,28,110.92706227302553,3,8,15,20,15,17,20,26,3,8,15,20
Office_Depot_Canon_PG21XL_Remanufactured_Ink_Cartridge_Black,18,145.72753834724426,3,7,10,17,11,13,15,18,3,7,10,17
Santa_Cruz_Mens_vnbiTDDt5xH,7,55.20553994178772,0,0,0,4,1,2,5,6,0,0,0,4
Mens_Bahama_in_Khaki_Oyster_xU2jeqYwhQJ,19,101.92930459976196,0,1,2,8,13,15,16,17,0,1,2,7
Closetmaid_Premium_Fabric_Cube_Red,2,20.595202207565308,0,0,1,2,2,2,2,2,0,0,1,2
Mens_Mako_Canoe_Moc_2Eye_Boat_Shoe_in_Coffee_9d05GG33QQQ,8,72.13107109069824,0,1,3,4,5,6,7,8,0,1,3,4
Perricone_MD_Face_Finishing_Moisturizer_4_oz,27,173.94122529029846,3,13,19,26,9,11,19,27,1,7,16,26
Ecoforms_Plant_Container_12_Pot_Nova,3,20.73978066444397,1,1,2,2,3,3,3,3,1,1,2,2
Reebok_REALFLEX_SELECT,3,72.2466893196106,0,0,0,0,0,2,3,3,0,0,0,0
063-a_marbles,376,459.8389956951141,33,161,276,354,162,216,278,370,23,121,231,350
Phillips_Colon_Health_Probiotic_Capsule,6,80.08159899711609,0,0,1,4,2,3,5,6,0,0,1,4
Lactoferrin,170,330.8411490917206,8,50,120,165,101,119,141,170,8,49,114,165
070-b_colored_wood_blocks,746,609.1497867107391,204,519,693,746,232,319,450,734,103,278,444,734
Kotobuki_Saucer_Dragon_Fly,268,489.4505951404572,61,166,214,250,92,113,148,228,35,92,134,218
Office_Depot_HP_98_Remanufactured_Ink_Cartridge_Black,17,122.9800832271576,0,2,6,16,8,9,12,17,0,2,6,16
Tag_Dishtowel_Waffle_Gray_Checks_18_x_26,8,162.8594136238098,2,6,8,8,4,6,7,8,1,5,7,8
PureConnect_2_Color_AnthrcteKnckoutPnkGrnGecko_Size_50,15,93.5997862815857,0,2,2,10,4,7,11,15,0,1,1,10
Asus_M5A99FX_PRO_R20_Motherboard_ATX_Socket_AM3,0,20.499191999435425,0,0,0,0,0,0,0,0,0,0,0,0
Crayola_Model_Magic_Modeling_Material_White_3_oz,7,82.1566481590271,0,0,2,5,5,5,5,6,0,0,2,5
TOP_TEN_HI_60KlbRbdoJA,0,41.23716402053833,0,0,0,0,0,0,0,0,0,0,0,0
Timberland_Womens_Earthkeepers_Classic_Unlined_Boat_Shoe,21,117.16211915016174,1,7,15,16,16,16,19,20,1,6,15,16
FYW_ALTERNATION,0,49.54546475410461,0,0,0,0,0,0,0,0,0,0,0,0
Nescafe_Tasters_Choice_Instant_Coffee_Decaf_House_Blend_Light_7_oz,0,51.46179509162903,0,0,0,0,0,0,0,0,0,0,0,0
Crayola_Bonus_64_Crayons,6,132.14263200759888,0,0,2,4,3,4,4,6,0,0,2,4
Timberland_Mens_Earthkeepers_Stormbuck_Plain_Toe_Oxford,2,69.84631609916687,0,0,0,1,1,1,2,2,0,0,0,1
065-d_cups,227,314.12312507629395,10,65,127,193,92,108,150,216,9,46,97,191
UGG_Classic_Tall_Womens_Boots_Grey_7,0,35.28318214416504,0,0,0,0,0,0,0,0,0,0,0,0
ASICS_GELChallenger_9_Royal_BlueWhiteBlack,5,53.23342490196228,0,0,0,3,1,3,5,5,0,0,0,3
057_racquetball,857,714.6102383136749,1,82,270,636,312,507,722,857,0,64,253,636
Brother_Ink_Cartridge_Magenta_LC75M,23,214.0926251411438,3,9,13,22,14,16,17,23,3,9,11,22
MK7,137,429.8634972572327,6,68,107,135,86,95,107,137,6,66,96,135
Cream_Tieks_Italian_Leather_Ballet_Flats,45,145.17862582206726,2,20,34,44,26,31,41,44,2,16,31,43
Retail_Leadership_Summit,18,58.469157457351685,1,5,11,13,11,13,15,17,1,5,11,13
Room_Essentials_Bowl_Turquiose,39,91.71143507957458,2,5,11,19,9,11,14,25,2,5,10,18
KS_Chocolate_Cube_Box_Assortment_By_Neuhaus_2010_Ounces,0,22.67474842071533,0,0,0,0,0,0,0,0,0,0,0,0
038_padlock,345,546.5996012687683,93,216,301,344,138,188,239,333,53,149,220,332
DPC_Handmade_Hat_Brown,11,67.06177592277527,3,6,7,8,8,8,8,9,3,6,7,8
California_Navy_Tieks_Italian_Leather_Ballet_Flats,38,141.26234602928162,1,17,22,34,27,30,33,38,1,17,22,34
Ecoforms_Plant_Bowl_Turquoise_7,19,51.38514494895935,0,1,3,14,6,6,8,16,0,1,3,14
