name,number_successful_grasps,total_time,pos_drift_under_005,pos_drift_under_010,pos_drift_under_015,pos_drift_under_025,rot_drift_under_010,rot_drift_under_012,rot_drift_under_015,rot_drift_under_025,rot_pos_setting_1,rot_pos_setting_2,rot_pos_setting_3,rot_pos_setting_4
Grreat_Choice_Dog_Double_Dish_Plastic_Blue,107,66.82665419578552,16,28,45,64,63,71,74,92,16,28,45,64
Just_For_Men_ShampooIn_Haircolor_Jet_Black_60,498,236.08568215370175,201,323,392,456,378,400,422,459,200,318,382,444
Olive_Kids_Birdie_Sidekick_Backpack,4,18.57754874229431,0,0,0,0,2,3,3,3,0,0,0,0
Gigabyte_GA78LMTUSB3_50_Motherboard_Micro_ATX_Socket_AM3,123,77.42597341537476,34,70,86,102,100,106,115,121,34,69,86,102
Android_Figure_Orange,964,449.4946959018707,579,830,900,953,882,903,924,958,573,810,885,951
065-b_cups,938,800.8685586452484,495,656,744,838,818,850,883,921,494,643,734,836
Little_Debbie_Donut_Sticks_6_cake_donuts_10_oz_total,308,156.26434302330017,81,162,203,238,187,205,224,256,79,153,191,227
The_Scooper_Hooper,286,136.0132031440735,40,89,128,192,117,137,162,219,36,74,115,180
HyperX_Cloud_II_Headset_Gun_Metal,14,21.49673175811768,5,13,13,13,13,14,14,14,5,13,13,13
Blackcurrant_Lutein,818,380.3565118312836,510,644,725,784,722,746,763,790,508,635,714,781
Cole_Hardware_Dishtowel_Blue,331,167.02817034721377,46,121,163,223,117,138,162,236,43,102,140,210
Ecoforms_Plant_Pot_GP9AAvocado,650,458.7455532550812,363,465,519,578,507,527,551,620,362,457,501,576
Thomas_Friends_Woodan_Railway_Henry,702,364.4762828350067,310,512,603,665,532,560,606,659,300,478,571,647
Just_For_Men_Mustache_Beard_Brushin_Hair_Color_Gel_MediumDark_Brown_M40,508,234.46357822418213,208,333,411,459,391,413,436,467,208,325,396,448
Epson_UltraChrome_T0543_Ink_Cartridge_Magenta_1pack,527,223.79695582389832,124,235,311,400,204,232,273,383,101,177,238,356
Tory_Burch_Kaitlin_Ballet_Mestico_in_BlackGold,576,363.5434243679047,206,343,435,511,407,432,469,533,199,323,414,492
Metallic_Pewter_Tieks_Italian_Leather_Ballet_Flats,509,304.5080363750458,198,306,386,453,386,409,436,485,197,297,373,450
SHAPE_MATCHING_NxacpAY9jDt,326,165.78378009796145,55,114,164,226,139,160,190,257,52,99,147,216
Ecoforms_Plant_Saucer_S17MOCHA,412,255.8750069141388,66,134,194,293,137,169,214,306,57,113,169,268
Now_Designs_Dish_Towel_Mojave_18_x_28,285,137.76186275482178,39,94,136,190,104,133,162,221,30,73,115,179
Wilton_Easy_Layers_Cake_Pan_Set,222,125.96648144721983,76,136,168,189,169,180,187,206,76,135,163,185
Razer_Taipan_White_Ambidextrous_Gaming_Mouse,609,331.93809747695923,230,393,475,555,407,445,479,557,221,364,440,537
Hasbro_Trivial_Pursuit_Family_Edition_Game,123,64.73535871505737,31,71,87,113,103,108,114,120,31,71,86,113
TOP_TEN_HI,216,135.5152337551117,77,132,163,190,172,181,188,209,77,132,159,190
NattoMax,876,412.9140872955322,543,716,788,844,777,796,817,845,541,701,772,839
Seagate_3TB_Central_shared_storage,276,152.72907090187073,94,171,196,223,184,192,209,235,94,168,193,222
Horse_Dreams_Pencil_Case,423,248.40234518051147,235,336,376,401,366,386,398,417,232,331,372,400
Down_To_Earth_Ceramic_Orchid_Pot_Asst_Blue,127,89.65277576446533,38,65,79,99,82,89,95,117,38,65,78,98
Mens_Gold_Cup_ASV_Capetown_Penny_Loafer_in_Black_GkQBKqABeQN,412,271.60383892059326,170,272,324,371,336,358,368,396,170,267,316,368
Womens_Sparkle_Suede_Bahama_in_Silver_Sparkle_Suede_Grey_Patent_x9rclU7EJXx,511,318.1703381538391,190,312,377,449,390,415,441,478,189,306,370,446
Womens_Multi_13,701,334.1497678756714,406,537,593,652,606,622,637,664,406,534,588,649
Office_Depot_Dell_Series_5_Remanufactured_Ink_Cartridge_Black,500,245.12073183059687,229,350,398,453,394,411,428,463,228,347,393,443
Kong_Puppy_Teething_Rubber_Small_Pink,997,449.0524170398712,655,878,941,982,899,921,950,980,645,856,925,975
Whey_Protein_Vanilla_12_Packets,67,52.22185492515564,23,42,51,63,54,55,66,67,23,42,51,63
Seagate_1TB_Backup_Plus_portable_drive_Blue,607,216.222829580307,148,281,355,469,181,227,289,423,108,187,253,376
ENFR_MID_ENFORCER,232,146.9346797466278,73,135,177,211,182,192,201,226,71,132,171,209
Little_Big_Planet_3_Plush_Edition,126,72.57238793373108,55,90,108,122,111,118,123,126,55,90,108,122
AllergenFree_JarroDophilus,845,392.6490881443024,530,691,747,800,739,753,778,809,529,676,735,799
WHALE_WHISTLE_6PCS_SET,989,440.0993835926056,632,842,939,976,868,892,925,961,625,807,905,958
Romantic_Blush_Tieks_Metallic_Italian_Leather_Ballet_Flats,562,342.0973081588745,221,365,435,517,446,474,493,533,219,357,419,506
Kingston_DT4000MR_G2_Management_Ready_USB_64GB,984,361.087815284729,602,783,853,935,503,558,629,795,443,540,615,788
Threshold_Performance_Bath_Sheet_Sandoval_Blue_33_x_63,49,72.23718452453613,21,32,36,39,43,43,45,49,21,32,36,39
Pennington_Electric_Pot_Cabana_4,587,427.0429799556732,311,424,483,546,486,502,519,576,311,417,477,544
Cole_Hardware_Plant_Saucer_Glazed_9,272,158.80862545967102,19,80,112,154,102,130,145,209,18,78,103,154
Jawbone_UP24_Wireless_Activity_Tracker_Pink_Coral_L,966,533.7310013771057,319,470,555,774,495,577,650,816,268,345,401,668
GEOMETRIC_SORTING_BOARD,231,110.45694780349731,42,86,135,190,155,169,190,217,40,81,131,188
Room_Essentials_Bowl_Turquiose,291,193.04901719093323,99,177,214,253,202,214,236,278,98,173,207,248
072-c_toy_airplane,981,923.6583576202391,521,704,806,906,733,784,830,918,503,665,756,880
Ecoforms_Plant_Saucer_SQ1HARVEST,708,452.8470547199249,216,372,488,608,218,270,343,534,144,235,310,490
Asus_X99Deluxe_Motherboard_ATX_LGA2011v3_Socket,45,40.08150887489319,16,19,21,33,39,41,44,45,16,19,21,33
Mens_Striper_Sneaker_in_White_rnp8HUli59Y,366,219.46797442436215,141,219,271,319,276,294,315,346,139,215,264,317
Mens_Wave_Driver_Kiltie_Moc_in_Tan_Leather,381,241.3737325668335,146,224,275,337,301,325,343,373,146,221,270,337
044_flat_screwdriver,634,406.7496573925018,295,451,516,565,377,427,459,523,274,389,451,517
SAPPHIRE_R7_260X_OC,146,84.20232248306274,51,79,95,118,110,117,124,141,51,79,95,118
CoQ10_wSSVoxVppVD,850,398.1106104850769,562,709,767,819,763,776,792,816,560,699,752,811
Reebok_EASYTONE_CL_LEATHER,365,227.3421573638916,166,240,280,325,296,310,323,357,166,239,275,324
Cole_Hardware_Flower_Pot_1025,44,54.569815158844,5,9,19,31,33,35,39,42,5,9,19,31
Krill_Oil,834,376.65219616889954,501,658,742,791,731,745,767,799,499,644,723,786
Perricone_MD_No_Bronzer_Bronzer,751,335.30184841156006,378,572,648,700,640,653,674,708,378,561,637,692
Office_Depot_Canon_CLI36_Remanufactured_Ink_Cartridge_TriColor,459,231.17921423912048,176,296,358,413,346,368,385,425,173,289,349,404
012_strawberry,996,554.6595618724823,960,992,995,996,996,996,996,996,960,992,995,996
REEF_ZENFUN,558,299.08588790893555,141,259,347,464,334,362,396,483,125,234,307,442
Folic_Acid,873,413.5894021987915,562,718,788,845,767,792,819,844,560,701,777,839
Jarrow_Glucosamine_Chondroitin_Combination_120_Caps,720,365.7060370445252,435,562,622,674,627,641,660,688,432,558,619,671
Retail_Leadership_Summit_eCT3zqHYIkX,108,89.40869116783142,13,32,47,72,63,70,79,98,13,32,47,72
Hasbro_Monopoly_Hotels_Game,124,82.18123459815979,47,80,89,105,100,105,113,123,47,80,89,105
HyperX_Cloud_II_Headset_Red,7,21.67363905906677,3,4,4,5,7,7,7,7,3,4,4,5
073-g_lego_duplo,299,166.2679088115692,63,133,185,240,197,218,232,266,61,124,173,235
Reebok_SOMERSET_RUN,269,160.3887870311737,88,162,195,233,203,212,227,258,87,157,187,232
072-e_toy_airplane,978,768.1846225261688,546,798,889,954,744,783,823,899,516,702,785,895
Sony_Downloadable_Loops,301,159.16046524047852,78,148,187,239,154,171,197,244,75,132,168,223
040_large_marker,844,548.7850286960602,476,630,703,784,566,610,647,738,461,590,644,734
Mens_Billfish_Slip_On_in_Tan_Beige_aaVUk0tNTv8,371,222.96396136283877,159,244,285,330,306,319,332,360,157,242,283,329
DIM_CDG,871,398.2316517829895,564,724,784,840,776,794,803,837,564,712,763,828
