name,number_successful_grasps,total_time,pos_drift_under_005,pos_drift_under_010,pos_drift_under_015,pos_drift_under_025,rot_drift_under_010,rot_drift_under_012,rot_drift_under_015,rot_drift_under_025,rot_pos_setting_1,rot_pos_setting_2,rot_pos_setting_3,rot_pos_setting_4
Ecoforms_Plant_Bowl_Turquoise_7,0,10.65832781791687,0,0,0,0,0,0,0,0,0,0,0,0
Perricone_MD_Skin_Clear_Supplements,0,1.337782859802246,0,0,0,0,0,0,0,0,0,0,0,0
019_pitcher_base,1,5.092572450637817,1,1,1,1,1,1,1,1,1,1,1,1
Sperry_TopSider_pSUFPWQXPp3,0,4.297178030014038,0,0,0,0,0,0,0,0,0,0,0,0
SNAIL_MEASURING_TAPE,18,17.69081950187683,12,15,17,18,14,17,17,17,12,14,16,17
Razer_Goliathus_Control_Edition_Small_Soft_Gaming_Mouse_Mat,3,10.649524450302124,2,2,2,3,3,3,3,3,2,2,2,3
Nintendo_Wii_Party_U_with_Controller_Wii_U_Game,0,1.4866762161254885,0,0,0,0,0,0,0,0,0,0,0,0
Inositol,0,2.510132074356079,0,0,0,0,0,0,0,0,0,0,0,0
Office_Depot_HP_932XL_Ink_Cartridge_Black_CN053A,0,2.0275561809539795,0,0,0,0,0,0,0,0,0,0,0,0
Crayola_Crayons_120_crayons,0,1.59317946434021,0,0,0,0,0,0,0,0,0,0,0,0
Adrenaline_GTS_13_Color_WhtObsdianBlckOlmpcSlvr_Size_70,2,6.529279708862305,0,1,1,1,1,1,1,2,0,1,1,1
073-f_lego_duplo,84,42.794429063797,83,84,84,84,84,84,84,84,83,84,84,84
CoQ10_wSSVoxVppVD,0,2.6395857334136963,0,0,0,0,0,0,0,0,0,0,0,0
Black_Decker_CM2035B_12Cup_Thermal_Coffeemaker,0,3.142662525177002,0,0,0,0,0,0,0,0,0,0,0,0
Epson_273XL_Ink_Cartridge_Magenta,81,32.04712963104248,47,64,75,81,50,62,74,81,38,55,70,81
Jarrow_Glucosamine_Chondroitin_Combination_120_Caps,0,1.7867214679718018,0,0,0,0,0,0,0,0,0,0,0,0
Home_Fashions_Washcloth_Linen,47,21.73950457572937,28,43,47,47,41,46,47,47,28,43,47,47
Santa_Cruz_Mens_YmsMDkFf11Z,2,3.412793636322021,0,1,2,2,2,2,2,2,0,1,2,2
Twinlab_Premium_Creatine_Fuel_Powder,0,2.15842604637146,0,0,0,0,0,0,0,0,0,0,0,0
HELICOPTER,76,32.71896433830261,39,57,63,72,42,45,50,72,33,43,48,69
Pony_C_Clamp_1440,137,57.83617281913757,61,103,117,132,87,95,109,121,55,85,104,120
Pinwheel_Pencil_Case,0,2.3210744857788086,0,0,0,0,0,0,0,0,0,0,0,0
HP_1800_Tablet_8GB_7,12,25.89623260498047,6,7,8,10,6,6,7,11,5,6,6,10
Canon_Pixma_Ink_Cartridge_Cyan_251,92,34.16553854942322,66,86,92,92,53,68,80,92,48,68,80,92
072-e_toy_airplane,441,184.03325414657596,363,407,424,439,387,396,406,434,363,395,405,433
CHICKEN_RACER,28,13.221689701080322,28,28,28,28,28,28,28,28,28,28,28,28
Footed_Bowl_Sand,2,12.661114931106567,0,0,0,0,0,0,0,2,0,0,0,0
Threshold_Hand_Towel_Blue_Medallion_16_x_27,0,2.375486135482788,0,0,0,0,0,0,0,0,0,0,0,0
Squirrel,2,8.887506484985352,2,2,2,2,2,2,2,2,2,2,2,2
Jawbone_UP24_Wireless_Activity_Tracker_Pink_Coral_L,78,70.31306552886963,58,75,78,78,54,58,63,77,52,58,63,77
Olive_Kids_Mermaids_Pack_n_Snack_Backpack,0,3.236569166183472,0,0,0,0,0,0,0,0,0,0,0,0
Lenovo_Yoga_2_11,15,15.428220272064207,3,4,7,7,7,8,10,14,3,4,7,7
Reebok_BREAKPOINT_LO_2V,2,5.250715494155884,0,0,0,2,0,2,2,2,0,0,0,2
Frozen_Olafs_In_Trouble_PopOMatic_Game_OEu83W9T8pD,13,12.234304428100586,4,10,11,12,9,10,10,11,4,9,10,11
Timberland_Mens_Earthkeepers_Casco_Bay_Canvas_Oxford,2,5.729732275009155,1,1,1,2,2,2,2,2,1,1,1,2
038_padlock,154,56.74127531051636,145,154,154,154,149,150,153,154,142,150,153,154
JS_WINGS_20_BLACK_FLAG,0,5.468315601348877,0,0,0,0,0,0,0,0,0,0,0,0
Perricoen_MD_No_Concealer_Concealer,0,1.8927178382873533,0,0,0,0,0,0,0,0,0,0,0,0
Poppin_File_Sorter_Blue,24,20.52792286872864,7,12,14,20,11,13,18,24,6,10,12,20
Seagate_Archive_HDD_8_TB_Internal_hard_drive_SATA_6Gbs_35_ST8000AS0002,70,25.730916500091556,31,46,58,68,47,58,67,70,28,41,57,68
Quercetin_500,0,1.6201741695404053,0,0,0,0,0,0,0,0,0,0,0,0
Cole_Hardware_Dishtowel_Multicolors,69,32.33977770805359,21,44,53,62,37,47,52,65,17,38,47,62
Ecoforms_Garden_Pot_GP16ATurquois,0,8.906262874603271,0,0,0,0,0,0,0,0,0,0,0,0
ACE_Coffee_Mug_Kristen_16_oz_cup,7,11.534021139144896,2,3,3,7,5,5,6,7,2,3,3,7
3M_Antislip_Surfacing_Light_Duty_White,72,27.241443395614624,30,57,69,72,48,66,71,72,25,56,69,72
050_medium_clamp,232,99.87370586395264,163,202,222,232,176,190,204,224,151,185,204,224
Ecoforms_Plant_Container_S24NATURAL,15,18.031609296798703,9,12,14,15,13,15,15,15,9,12,14,15
Tag_Dishtowel_Green,50,26.420790910720825,15,30,35,45,23,32,40,50,14,27,33,45
Hasbro_Monopoly_Hotels_Game,0,1.8373956680297847,0,0,0,0,0,0,0,0,0,0,0,0
Glycerin_11_Color_AqrsDrsdnBluBlkSlvShckOrng_Size_50,0,4.391674757003784,0,0,0,0,0,0,0,0,0,0,0,0
3D_Dollhouse_TablePurple,22,24.58929419517517,18,20,22,22,19,19,21,22,18,19,21,22
Olive_Kids_Butterfly_Garden_Pencil_Case,0,2.5118236541748047,0,0,0,0,0,0,0,0,0,0,0,0
Playmates_Industrial_CoSplinter_Teenage_Mutant_Ninja_Turtle_Action_Figure,27,17.651484727859497,24,26,27,27,26,27,27,27,23,26,27,27
Swiss_Miss_Hot_Cocoa_KCups_Milk_Chocolate_12_count,0,1.4883975982666016,0,0,0,0,0,0,0,0,0,0,0,0
Perricone_MD_Face_Finishing_Moisturizer,0,1.8473243713378904,0,0,0,0,0,0,0,0,0,0,0,0
OXO_Soft_Works_Can_Opener_SnapLock,54,22.489007234573364,32,50,52,53,44,49,52,53,32,48,52,52
Womens_Sequin_Bahama_in_White_Sequin_V9K1hf24Oxe,0,3.637982130050659,0,0,0,0,0,0,0,0,0,0,0,0
Womens_Hikerfish_Boot_in_Black_Leopard_bVSNY1Le1sm,4,7.995081663131714,1,2,3,3,3,3,4,4,1,2,3,3
Mens_Billfish_3Eye_Boat_Shoe_in_Dark_Tan_wyns9HRcEuH,0,3.477977514266968,0,0,0,0,0,0,0,0,0,0,0,0
JarroSil_Activated_Silicon,0,1.9402105808258057,0,0,0,0,0,0,0,0,0,0,0,0
Nickelodeon_Teenage_Mutant_Ninja_Turtles_Michelangelo,86,39.95532274246216,52,68,74,83,64,69,78,85,52,63,72,83
Just_For_Men_ShampooIn_Haircolor_Light_Brown_25,0,2.053593158721924,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea_BlkHeelPMP_DwxLtZNxLZZ,5,6.870921611785889,3,4,4,5,4,4,4,4,3,4,4,4
Olive_Kids_Dinosaur_Land_Sidekick_Backpack,0,3.0916779041290283,0,0,0,0,0,0,0,0,0,0,0,0
Wrigley_Orbit_Mint_Variety_18_Count,0,1.803815841674805,0,0,0,0,0,0,0,0,0,0,0,0
White_Rose_Tieks_Leather_Ballet_Flats_with_Floral_Rosettes,3,7.315052032470703,1,2,3,3,2,2,2,3,1,2,2,3
Olive_Kids_Game_On_Munch_n_Lunch,0,2.9476842880249023,0,0,0,0,0,0,0,0,0,0,0,0
Nips_Hard_Candy_Rich_Creamy_Butter_Rum_4_oz_1133_g,0,1.973949670791626,0,0,0,0,0,0,0,0,0,0,0,0
Balderdash_Game,0,1.5566654205322266,0,0,0,0,0,0,0,0,0,0,0,0
070-a_colored_wood_blocks,0,3.349632024765014,0,0,0,0,0,0,0,0,0,0,0,0
Android_Lego,192,72.04946827888489,109,155,177,186,116,131,150,188,94,124,150,185
Timberland_Mens_Earthkeepers_Stormbuck_Plain_Toe_Oxford,0,3.8068268299102783,0,0,0,0,0,0,0,0,0,0,0,0
Reebok_SH_NEWPORT_LOW,0,3.2212963104248047,0,0,0,0,0,0,0,0,0,0,0,0
Unmellow_Yellow_Tieks_Neon_Patent_Leather_Ballet_Flats,1,4.285923957824707,1,1,1,1,1,1,1,1,1,1,1,1
Womens_Audrey_Slip_On_Boat_Shoe_in_Graphite_Nubuck_xWVkCJ5vxZe,6,8.377345561981201,4,5,5,6,5,5,5,6,4,5,5,6
Perricone_MD_No_Bronzer_Bronzer,0,1.908763408660889,0,0,0,0,0,0,0,0,0,0,0,0
063-a_marbles,20,10.920051574707031,17,19,20,20,19,19,20,20,17,19,20,20
Chefmate_8_Frypan,27,24.979910612106323,12,14,20,22,19,20,22,25,12,14,20,22
Crazy_8,1,5.658849000930786,1,1,1,1,1,1,1,1,1,1,1,1
Shurtape_Gaffers_Tape_Silver_2_x_60_yd,0,1.4985804557800293,0,0,0,0,0,0,0,0,0,0,0,0
Sienna_Brown_Croc_Tieks_Patent_Leather_Crocodile_Print_Ballet_Flats,0,5.552568197250366,0,0,0,0,0,0,0,0,0,0,0,0
Crayola_Bonus_64_Crayons,0,1.8797297477722168,0,0,0,0,0,0,0,0,0,0,0,0
Ecoforms_Planter_Pot_QP6Ebony,1,12.447588443756104,1,1,1,1,1,1,1,1,1,1,1,1
Ortho_Forward_Facing_3Q6J2oKJD92,1,6.688944816589356,1,1,1,1,0,1,1,1,0,1,1,1
BIA_Porcelain_Ramekin_With_Glazed_Rim_35_45_oz_cup,20,16.747166872024536,13,17,20,20,14,16,17,20,13,15,17,20
Mario_Party_9_Wii_Game,111,41.45428919792175,23,43,68,92,27,35,49,94,17,28,45,85
Perricone_MD_Chia_Serum,0,1.7060511112213137,0,0,0,0,0,0,0,0,0,0,0,0
Kid_Icarus_Uprising_Nintendo_3DS_Game,36,13.1587233543396,25,34,36,36,36,36,36,36,25,34,36,36
065-i_cups,6,9.382081508636476,5,6,6,6,6,6,6,6,5,6,6,6
SAMOA,1,6.197979211807251,0,0,0,0,0,0,0,1,0,0,0,0
NattoMax,0,2.486758232116699,0,0,0,0,0,0,0,0,0,0,0,0
Dell_Ink_Cartridge,0,5.7075018882751465,0,0,0,0,0,0,0,0,0,0,0,0
002_master_chef_can_orig,0,2.69128966331482,0,0,0,0,0,0,0,0,0,0,0,0
SAMe_200,0,2.2628495693206787,0,0,0,0,0,0,0,0,0,0,0,0
Glycerin_11_Color_BrllntBluSkydvrSlvrBlckWht_Size_80,0,4.493420362472534,0,0,0,0,0,0,0,0,0,0,0,0
IsoRich_Soy,0,1.774144172668457,0,0,0,0,0,0,0,0,0,0,0,0
Logitech_Ultimate_Ears_Boom_Wireless_Speaker_Night_Black,0,1.992990493774414,0,0,0,0,0,0,0,0,0,0,0,0
035_power_drill,0,3.357438564300537,0,0,0,0,0,0,0,0,0,0,0,0
Perricone_MD_AcylGlutathione_Eye_Lid_Serum,0,2.45443058013916,0,0,0,0,0,0,0,0,0,0,0,0
BlackBlack_Nintendo_3DSXL,45,27.00240683555603,14,28,33,42,21,25,28,44,11,24,26,42
Germanium_GE132,26,11.21985411643982,26,26,26,26,26,26,26,26,26,26,26,26
Theanine,0,2.176173686981201,0,0,0,0,0,0,0,0,0,0,0,0
Reebok_ZIGLITE_RUSH,0,4.827563285827637,0,0,0,0,0,0,0,0,0,0,0,0
Ecoforms_Plant_Container_Urn_55_Avocado,0,6.758702754974365,0,0,0,0,0,0,0,0,0,0,0,0
Womens_Cloud_Logo_Authentic_Original_Boat_Shoe_in_Black_Supersoft_8LigQYwf4gr,3,6.282864809036255,1,2,3,3,2,3,3,3,1,2,3,3
JUNGLE_HEIGHT,15,15.34432888031006,5,10,11,13,11,13,15,15,4,9,11,13
042_adjustable_wrench,80,58.448564291000366,41,65,69,77,51,55,62,73,36,52,59,71
Sonny_School_Bus,0,6.143054723739624,0,0,0,0,0,0,0,0,0,0,0,0
Predator_LZ_TRX_FG,1,4.517312049865723,1,1,1,1,1,1,1,1,1,1,1,1
Mens_ASV_Shock_Light_Bungee_in_Light_Grey_xGCOvtLDnQJ,0,4.7330193519592285,0,0,0,0,0,0,0,0,0,0,0,0
Krill_Oil,0,2.171344995498657,0,0,0,0,0,0,0,0,0,0,0,0
Perricone_MD_Firming_Neck_Therapy_Treatment,0,1.5858964920043943,0,0,0,0,0,0,0,0,0,0,0,0
Dell_Series_9_Color_Ink_Cartridge_MK993_High_Yield,1,4.333036661148071,1,1,1,1,1,1,1,1,1,1,1,1
